id	file	section	line	kind	disposition	target	duplicate_of	near_duplicate_of	sentence	phase3
R0021	.agents/workflows/pre-development.md	Quality and interaction rules	61	readability	duplicate	workflow (one readability paragraph)			Follow `.agents/contracts/document-readability.md`: preserve material information and use navigable detail pages when needed.	removed:restatement (workflow working rules own it)
R0022	.agents/workflows/pre-development.md	Quality and interaction rules	61	gate-candidate	split	workflow + contract:evidence + duplicate			Assets is a reference index, loaded only when relevant.	split:workflow + contract:evidence + duplicate
R0023	.agents/workflows/pre-development.md	Quality and interaction rules	61	method	split	workflow + contract:evidence + duplicate			State each decision once; retain material attribution with that statement and historical versions in Git.	split:workflow + contract:evidence + duplicate
R0024	.agents/workflows/pre-development.md	Quality and interaction rules	61	migration	split	workflow + contract:evidence + duplicate			No standalone Evidence register or mandatory global source ledger is created.	split:workflow + contract:evidence + duplicate
R0025	.agents/workflows/pre-development.md	Quality and interaction rules	73	method	split	workflow + contract:evidence + duplicate			Use the operator's language for questions and handoffs unless they request otherwise.	split:workflow + contract:evidence + duplicate
R0026	.agents/workflows/pre-development.md	Quality and interaction rules	73	method	split	workflow + contract:evidence + duplicate			Use the requested artifact language independently: translate and normalize operator input when necessary without changing its meaning.	split:workflow + contract:evidence + duplicate
R0027	.agents/workflows/pre-development.md	Quality and interaction rules	73	method	split	workflow + contract:evidence + duplicate			Ask one highest-impact question at a time in plain language.	split:workflow + contract:evidence + duplicate
R0028	.agents/workflows/pre-development.md	Quality and interaction rules	73	readability	duplicate	workflow (one readability paragraph)			Do not use unexplained professional shorthand, and do not expand an ambiguous word into requirements before confirming what the operator meant.	removed:restatement (workflow working rules own it)
R0029	.agents/workflows/pre-development.md	Quality and interaction rules	80	method	split	workflow + contract:evidence + duplicate			Classify every material unknown by who can resolve it:	split:workflow + contract:evidence + duplicate
R0030	.agents/workflows/pre-development.md	Quality and interaction rules	82	evidence	contract:evidence	contract:evidence			`operator-fact`: current facts or constraints controlled or known by the operator, including the project boundary, existing customers or users, the current or intended products in scope and the role of supporting acquisition activities or internal work, budget, available time and contacts, rights and license intent, support capacity, geography, decision authority, owned assets, preferred references, and non-goals; `research-question`: an external fact that requires attributable evidence; `professional-choice`: a strategy, communication, design, or experiment proposal the owning role is expected to make; `evidence-gap`: proof that does not yet exist and must remain explicitly missing or become the subject of an experiment.	moved:contract:evidence
R0031	.agents/workflows/pre-development.md	Quality and interaction rules	95	evidence	contract:evidence	contract:evidence			An `assumption` may support a clearly labeled proposal, but it never answers an `operator-fact`.	moved:contract:evidence
R0032	.agents/workflows/pre-development.md	Quality and interaction rules	95	method	split	workflow + contract:evidence + duplicate			Ask the operator instead.	split:workflow + contract:evidence + duplicate
R0033	.agents/workflows/pre-development.md	Quality and interaction rules	95	workflow	workflow	workflow			Do not convert missing operating capacity, budget, channel access, rights, support, or decision authority into a number merely to satisfy a template or pass a stage.	kept:workflow
R0034	.agents/workflows/pre-development.md	Quality and interaction rules	100	workflow	workflow	workflow			A bare `singlepagestartup` invocation authorizes inspection and resumption; it does not confirm the project scope or any operator fact.	kept:workflow
R0035	.agents/workflows/pre-development.md	Quality and interaction rules	100	prohibition	split	workflow + contract:evidence + duplicate			Repository files may support a proposed scope summary, but they do not reveal the operator's current intent.	split:workflow + contract:evidence + duplicate
R0036	.agents/workflows/pre-development.md	Quality and interaction rules	100	method	split	workflow + contract:evidence + duplicate			If the brief does not contain an attributable, explicit request and scope confirmation, stop before specialist analysis and ask for confirmation or correction.	split:workflow + contract:evidence + duplicate
R0037	.agents/workflows/pre-development.md	Durable state	109	workflow	workflow	workflow			After the GitHub preflight succeeds, read the active layer's state before loading project content:	kept:workflow
R0038	.agents/workflows/pre-development.md	Durable state	116	workflow	workflow	workflow			The state is a durable cursor, not a second source of business truth.	kept:workflow
R0039	.agents/workflows/pre-development.md	Durable state	116	workflow	workflow	workflow			It contains only `active_stage`, `status`, `active_artifacts`, and artifact-section references in `blockers`.	kept:workflow
R0040	.agents/workflows/pre-development.md	Durable state	116	method	split	workflow + gate			It contains no decisions, document copies, timestamps, versions, session summaries, or run history.	split:workflow + gate
R0041	.agents/workflows/pre-development.md	Durable state	116	gate-candidate	gate	gate			Business truth remains in the indexed living artifacts and Git remains the history.	executable:pipeline definition
R0042	.agents/workflows/pre-development.md	Durable state	129	inheritance	split	workflow + gate			The state is layer-local and never inherited: the framework reads `utils/pre-development/singlepage.yaml`; a downstream project reads `utils/pre-development/startup.yaml`.	split:workflow + gate
R0043	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	135	workflow	gate	gate			After reading the layer cursor and before accepting its stage, follow `.agents/contracts/pipeline-reconciliation.md`.	executable:pipeline definition
R0044	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	135	gate-candidate	gate	gate			Compare the existing Workspace with the current checked-out workflow, roles, templates, contracts, active index, and stage completion rules on every invocation.	executable:pipeline definition
R0045	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	142	gate-candidate	gate	gate			The structural scan may inspect section names, schema keys, index entries, and file references across completed, active, and later non-empty artifacts.	executable:pipeline definition
R0046	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	142	method	gate	gate			Load full content only for a discovered gap and its dependency closure.	executable:pipeline definition
R0047	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	142	inheritance	gate	gate			Respect singlepage-to-startup inheritance: keep applicable inheritance, write only project-specific startup changes, and never let unrelated inherited project facts satisfy an active startup approval or scope gate.	executable:pipeline definition
R0048	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	149	gate-candidate	gate	gate			Route every missing file, section, schema key, current requirement, or required approval record to its earliest owning stage.	executable:pipeline definition
R0049	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	149	method	gate	gate			Repair it from attributable current facts when possible; otherwise classify and ask for the highest-impact missing input.	executable:pipeline definition
R0050	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	149	workflow	gate	gate			Move and persist the cursor before downstream work.	executable:pipeline definition
R0051	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	155	workflow	gate	gate			At every launch, reconcile the cursor before doing work:	executable:pipeline definition
R0052	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	157	gate-candidate	gate	gate			Read the state and active index, then complete the mandatory pipeline compatibility reconciliation.	executable:pipeline definition
R0053	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	157	workflow	gate	gate			Read the resulting active-stage outputs and their prerequisite closure, then verify the completion criteria of the recorded stage and its prerequisites.	executable:pipeline definition
R0054	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	157	workflow	gate	gate			Existing artifacts are not grandfathered: a brief without explicit scope confirmation, a strategy without explicit strategy approval, or a brand without explicit brand approval is incomplete even if its prose looks final or the cursor previously advanced past it.	executable:pipeline definition
R0055	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	157	workflow	gate	gate			If an earlier prerequisite is incomplete or contradicted, move the cursor back to the earliest affected stage and name the artifacts that require work.	executable:pipeline definition
R0056	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	157	workflow	gate	gate			When Products is complete, keep `active_stage: 40-products`, set `status: complete`, and clear `active_artifacts` and `blockers`.	executable:pipeline definition
R0057	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	157	workflow	gate	gate			Write the state after every atomic artifact update and before returning a handoff.	executable:pipeline definition
R0058	.agents/workflows/pre-development.md	Pipeline compatibility reconciliation	157	workflow	gate	gate			If a previous task ended between the artifact write and the state write, reconciliation repairs the cursor from the artifacts.	executable:pipeline definition
R0059	.agents/workflows/pre-development.md	Start or continue	178	workflow	workflow	workflow			Resolve the active layer, complete the mandatory GitHub change preflight, then read its `pre-development.yaml`, complete pipeline compatibility reconciliation, and reconcile the cursor; report the resulting stage, status, and active artifacts.	kept:workflow
R0060	.agents/workflows/pre-development.md	Start or continue	178	method	workflow	workflow			Load only the dependency closure of those active artifacts.	kept:workflow
R0061	.agents/workflows/pre-development.md	Start or continue	178	evidence	workflow	workflow			Living sources live under `apps/studio/workspace/<artifact>/`; their read-only stories and rendering code live in `apps/studio/workspace/utils/`.	kept:workflow
R0062	.agents/workflows/pre-development.md	Start or continue	178	evidence	workflow	workflow			Classify unresolved items as `operator-fact`, `research-question`, `professional-choice`, or `evidence-gap`.	kept:workflow
R0063	.agents/workflows/pre-development.md	Start or continue	178	method	workflow	workflow			Ask for the highest-impact missing operator fact and record unknowns instead of inventing answers.	kept:workflow
R0064	.agents/workflows/pre-development.md	Start or continue	178	prohibition	workflow	workflow			If work cannot continue, set `status: blocked` and reference the owning artifact sections in `blockers`.	kept:workflow
R0065	.agents/workflows/pre-development.md	Start or continue	178	workflow	workflow	workflow			Launch the provider custom agent whose ID matches each artifact owner.	kept:workflow
R0066	.agents/workflows/pre-development.md	Start or continue	178	method	workflow	workflow			Its adapter must load the matching canonical role before acting.	kept:workflow
R0067	.agents/workflows/pre-development.md	Start or continue	178	method	workflow	workflow			That one file contains both professional responsibility and method; load only the resolved project dependencies and capability bindings required for this decision.	kept:workflow
R0068	.agents/workflows/pre-development.md	Start or continue	178	evidence	workflow	workflow			During initial interview, do not repeatedly regenerate product models, product Research, Strategy, Brand, Website, or marketing creative from each partial answer.	kept:workflow
R0069	.agents/workflows/pre-development.md	Start or continue	178	inheritance	workflow	workflow			Propagate a batch only after the decision subject and affected upstream section are stable or when a confirmed correction invalidates an existing downstream decision.	kept:workflow
R0070	.agents/workflows/pre-development.md	Start or continue	178	method	workflow	workflow			On a full professional rerun use the canonical template and stable upstream dependencies.	kept:workflow
R0071	.agents/workflows/pre-development.md	Start or continue	178	migration	workflow	workflow			For Product/model migration, first inspect existing unique facts, whole topics, source attribution and extensions; preserve them at their owners.	kept:workflow
R0072	.agents/workflows/pre-development.md	Start or continue	178	confirmation	workflow	workflow			Never discard a client fact merely because a template changed.	kept:workflow
R0073	.agents/workflows/pre-development.md	Start or continue	178	confirmation	workflow	workflow			Before saving, search the document for every earlier statement about the changed fact and replace or remove all stale occurrences in the same edit.	kept:workflow
R0074	.agents/workflows/pre-development.md	Start or continue	178	prohibition	workflow	workflow			Never append a corrected answer below an obsolete answer.	kept:workflow
R0075	.agents/workflows/pre-development.md	Start or continue	178	workflow	workflow	workflow			Recompute the earliest incomplete stage, persist the cursor, then return decisions, unresolved evidence, and a clear handoff.	kept:workflow
R0076	.agents/workflows/pre-development.md	Change an existing decision	214	confirmation	split	workflow + duplicate			Classify the request as a correction, new evidence, changed constraint, or requested presentation change.	split:workflow + duplicate
R0077	.agents/workflows/pre-development.md	Change an existing decision	214	confirmation	split	workflow + duplicate			Update the earliest canonical artifact that owns the changed fact or decision.	split:workflow + duplicate
R0078	.agents/workflows/pre-development.md	Change an existing decision	214	method	split	workflow + duplicate			Resolve document statuses and reverse dependencies with the shared review resolver, including product-local inputs.	split:workflow + duplicate
R0079	.agents/workflows/pre-development.md	Change an existing decision	214	confirmation	split	workflow + duplicate			Follow `.agents/contracts/document-confirmation.md`: changed inputs produce `stale`; review their semantic impact before use.	split:workflow + duplicate
R0080	.agents/workflows/pre-development.md	Change an existing decision	214	confirmation	split	workflow + duplicate			Refresh a dependency snapshot after a no-material-effect review without re-requesting unchanged approval.	split:workflow + duplicate
R0081	.agents/workflows/pre-development.md	Change an existing decision	214	confirmation	split	workflow + duplicate			For a material effect, record `review.stale` until the owning correction and required confirmation are complete.	split:workflow + duplicate
R0082	.agents/workflows/pre-development.md	Change an existing decision	214	confirmation	split	workflow + duplicate			Never refresh hashes merely to hide stale work.	split:workflow + duplicate
R0083	.agents/workflows/pre-development.md	Change an existing decision	214	confirmation	split	workflow + duplicate			Re-run only owners whose artifacts are now contradicted or stale.	split:workflow + duplicate
R0084	.agents/workflows/pre-development.md	Change an existing decision	214	workflow	workflow	workflow			It never preserves chronological corrections, invalidation prose, or handoff metadata from the stale artifact.	kept:workflow
R0085	.agents/workflows/pre-development.md	Change an existing decision	214	migration	split	workflow + duplicate			If invalidation retires assets, verify their ownership, exact registry IDs and paths, and current references before cleanup.	split:workflow + duplicate
R0086	.agents/workflows/pre-development.md	Change an existing decision	214	migration	split	workflow + duplicate			Remove generated files and rows when their current proposal is retired.	split:workflow + duplicate
R0087	.agents/workflows/pre-development.md	Change an existing decision	214	method	split	workflow + duplicate			Remove client, stock, or public-reference files and rows only when an attributable owning decision marks the exact input rejected, replaced, duplicated, or no longer needed.	split:workflow + duplicate
R0088	.agents/workflows/pre-development.md	Change an existing decision	214	confirmation	split	workflow + duplicate			Remove stale current-artifact mentions in the same change; Git retains history, and age alone never authorizes deletion.	split:workflow + duplicate
R0089	.agents/workflows/pre-development.md	Change an existing decision	214	workflow	workflow	workflow			Move the durable cursor to the earliest affected stage, persist it, and report every changed artifact and downstream decision intentionally left unchanged.	kept:workflow
R0090	.agents/workflows/pre-development.md	Change an existing decision	240	prohibition	split	workflow + duplicate			Do not require separate commands for stages, roles, or document editing.	split:workflow + duplicate
R0091	.agents/workflows/pre-development.md	Domain adaptation and quality gate	244	confirmation	role:*	role:*			Do not create a separate decision checklist, gate table, or approval register in workspace, and do not copy project business content into `.agents/`.	kept:role:*
R0092	.agents/workflows/pre-development.md	Domain adaptation and quality gate	250	workflow	split	role:* + gate + duplicate			Before completing a stage, its owner applies these checks to the actual content:	split:role:* + gate + duplicate
R0093	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	method	role:*	role:*			Identify distinct users, buyers, payers, beneficiaries, transaction/value units, money flow, capacity, geography, and material limits only where they change a decision.	kept:role:*
R0094	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	method	role:*	role:*			Allow compound models; unknown facts stay unknown instead of being forced into a familiar category.	kept:role:*
R0095	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	method	role:*	role:*			Record each material unanswered question once, in the document that needs its answer.	kept:role:*
R0096	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	evidence	role:*	role:*			Classify it as `operator-fact`, `research-question`, `professional-choice`, or `evidence-gap`.	kept:role:*
R0097	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	evidence	role:*	role:*			Ask the client for operator facts; research external questions within the named product; let the responsible professional propose choices.	kept:role:*
R0098	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	evidence	role:*	role:*			An assumption never resolves a client fact.	kept:role:*
R0099	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	evidence	role:*	role:*			Keep source attribution, applicable metrics, risks, regulation, and viability conditions beside the owning decision.	kept:role:*
R0100	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	workflow	split	role:* + gate + duplicate			General checklists, role instructions, and stage rules remain in `.agents/`.	split:role:* + gate + duplicate
R0101	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	evidence	role:*	role:*			Use a named method or benchmark only when the consuming document explains its source, fit, limitations, and effect on a material decision.	kept:role:*
R0102	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	evidence	role:*	role:*			Familiar terminology is not evidence.	kept:role:*
R0103	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	workflow	split	role:* + gate + duplicate			Check the active stage's required content, actual inputs, source limitations, and semantic dependency status.	split:role:* + gate + duplicate
R0104	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	method	role:*	role:*			Resolve material questions needed for the next decision; retain later unknowns explicitly without falsely marking them answered.	kept:role:*
R0105	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	gate-candidate	gate	gate			A completed heading or fluent generic prose never establishes quality or readiness.	executable:pipeline definition
R0106	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	evidence	role:*	role:*			Read scope confirmation in Brief and required whole-document confirmations from source metadata under `.agents/contracts/document-confirmation.md`.	kept:role:*
R0107	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	confirmation	role:*	role:*			Never duplicate approval in a second checklist.	kept:role:*
R0108	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	confirmation	role:*	role:*			Scope confirmation does not approve the whole Brief; whole-document confirmation does not verify market claims.	kept:role:*
R0109	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	method	role:*	role:*			Strategy, Brand, and complete Design remain proposals until the active project's user confirmation is valid.	kept:role:*
R0110	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	workflow	split	role:* + gate + duplicate			Derive the current stage from these criteria and the living documents, then update only the minimal layer-local workflow cursor.	split:role:* + gate + duplicate
R0111	.agents/workflows/pre-development.md	Domain adaptation and quality gate	252	inheritance	role:*	role:*			When a changed premise affects downstream content, follow semantic impact review rather than importing or automatically rewriting another document.	kept:role:*
R0112	.agents/workflows/pre-development.md	Domain adaptation and quality gate	284	method	role:*	role:*			Ask one highest-impact unanswered question at a time.	kept:role:*
R0113	.agents/workflows/pre-development.md	Domain adaptation and quality gate	284	confirmation	role:*	role:*			Write usable answers into their owning sections and replace stale assertions rather than adding a dialogue log.	kept:role:*
R0114	.agents/workflows/pre-development.md	Domain adaptation and quality gate	284	evidence	role:*	role:*			Research only questions that can change the current decision.	kept:role:*
R0115	.agents/workflows/pre-development.md	Domain adaptation and quality gate	284	method	role:*	role:*			Project-specific constraints remain reviewable in the operator's ordinary documents.	kept:role:*
R0116	.agents/workflows/pre-development.md	00 — Client Request	291	gate-candidate	gate	gate			Resolve model/product files through the catalog; `product-models` is a cursor task, not a global document.	executable:pipeline definition
R0117	.agents/workflows/pre-development.md	00 — Client Request	296	gate-candidate	gate	gate			**Required inputs**: founder request, client conversation, supplied documents and assets, existing project records, and the active index.	executable:pipeline definition
R0118	.agents/workflows/pre-development.md	00 — Client Request	299	evidence	role:*	role:*			**Capabilities**: artifact read/write, inspection of supplied materials, and browser interaction to read a client-provided source.	kept:role:*
R0119	.agents/workflows/pre-development.md	00 — Client Request	299	workflow	split	gate + role:account-manager + role:business-analyst + duplicate			No external market search or Market Researcher work belongs to this stage.	split:gate + role:account-manager + role:business-analyst + duplicate
R0120	.agents/workflows/pre-development.md	00 — Client Request	303	inheritance	role:*	role:*			Keep quotations, scope-status prose, review chronology, downstream document links and a generic unknowns checklist out of the body.	kept:role:*
R0121	.agents/workflows/pre-development.md	00 — Client Request	303	method	role:*	role:*			Before Business Analyst starts, the brief must separate and name:	kept:role:*
R0122	.agents/workflows/pre-development.md	00 — Client Request	317	method	role:*	role:*			Record its attribution under Brief's `intake.scope`, separately from whole-document confirmation.	kept:role:*
R0123	.agents/workflows/pre-development.md	00 — Client Request	317	method	role:*	role:*			Existing attributable confirmation remains valid until scope changes.	kept:role:*
R0124	.agents/workflows/pre-development.md	00 — Client Request	317	prohibition	role:*	role:*			Do not merge a framework, reference implementation, customer project, and historical service model because they share people or technology.	kept:role:*
R0125	.agents/workflows/pre-development.md	00 — Client Request	324	gate-candidate	gate	gate			Record asset IDs, client likes/dislikes, and category status; exact IDs and status may be in Brief frontmatter under `visual_references`.	executable:pipeline definition
R0126	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			In the visible table, put each category description and its exact uploaded filenames/working links in the same row.	kept:role:*
R0127	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			Include explicit rows for project name, logo, slogan and any supplied color or other identity elements before the five reference categories.	kept:role:*
R0128	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			Record confirmed absence or missing intake explicitly, without inventing an element.	kept:role:*
R0129	.agents/workflows/pre-development.md	00 — Client Request	324	prohibition	role:*	role:*			Do not create a separate uploaded-files section.	kept:role:*
R0130	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			Assets owns files and rights.	kept:role:*
R0131	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			On additions, verify the files, register their IDs/category and review the affected description before it is used as a design input; untouched categories retain their confirmed preferences.	kept:role:*
R0132	.agents/workflows/pre-development.md	00 — Client Request	324	evidence	role:*	role:*			Agents inspect the actual source images and supply them as model reference inputs where supported, rather than relying only on their textual summaries.	kept:role:*
R0133	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			This intake may remain incomplete during product models, Strategy, and Brand, but all five categories must be ready before Design generation.	kept:role:*
R0134	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			During Brief intake, the Account Manager delegates bounded reference analysis to the Brand Designer as each category arrives.	kept:role:*
R0135	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			Record confirmed descriptions in Brief; inferred traits remain proposed until reviewed.	kept:role:*
R0136	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			Final Design decisions still belong to 30-design.	kept:role:*
R0137	.agents/workflows/pre-development.md	00 — Client Request	324	method	role:*	role:*			Preserve already confirmed descriptions when their references and preference are unchanged.	kept:role:*
R0138	.agents/workflows/pre-development.md	00 — Client Request	351	method	role:*	role:*			After scope confirmation, describe the business model from client inputs in Product, Operations & Economics and Sales; place material questions in the documents that need their answers.	kept:role:*
R0139	.agents/workflows/pre-development.md	00 — Client Request	351	method	role:*	role:*			`00-business` owns only operator facts and observations of supplied materials.	kept:role:*
R0140	.agents/workflows/pre-development.md	00 — Client Request	351	workflow	split	gate + role:account-manager + role:business-analyst + duplicate			External research questions belong to a named product at `10-strategy` or a later consuming stage; professional proposals belong to their owning later stage.	split:gate + role:account-manager + role:business-analyst + duplicate
R0141	.agents/workflows/pre-development.md	00 — Client Request	351	evidence	role:*	role:*			Do not block factual intake on market research and do not use research to answer an operator fact.	kept:role:*
R0142	.agents/workflows/pre-development.md	00 — Client Request	358	evidence	role:*	role:*			Record each material assertion's source and state: client statement, supplied-material observation, confirmed intention, explicit calculation from supplied inputs, or unknown.	kept:role:*
R0143	.agents/workflows/pre-development.md	00 — Client Request	358	evidence	role:*	role:*			A client's belief about demand remains a client claim.	kept:role:*
R0144	.agents/workflows/pre-development.md	00 — Client Request	358	prohibition	role:*	role:*			A proposed funnel, benchmark, segment, or forecast must not be presented as a current business fact.	kept:role:*
R0145	.agents/workflows/pre-development.md	00 — Client Request	365	inheritance	role:*	role:*			Record each active product's supplied current or client-confirmed intended sales process in `products/<layer>/<product-id>/sales.yaml`.	kept:role:*
R0146	.agents/workflows/pre-development.md	00 — Client Request	365	gate-candidate	gate	gate			Use confirmed Brief IDs or existing catalog paths; do not load delivery drafts to reconstruct facts.	executable:pipeline definition
R0147	.agents/workflows/pre-development.md	00 — Client Request	365	workflow	split	gate + role:account-manager + role:business-analyst + duplicate			Missing details block `00-business` only when the next strategic decision needs an operator fact; otherwise retain their exact later-stage or launch gate.	split:gate + role:account-manager + role:business-analyst + duplicate
R0148	.agents/workflows/pre-development.md	00 — Client Request	373	evidence	role:*	role:*			Claim sources follow `.agents/contracts/evidence.md`.	kept:role:*
R0149	.agents/workflows/pre-development.md	00 — Client Request	373	evidence	role:*	role:*			Current client facts stay in Brief and the owning Product/model, external findings and sources in product Research, and asset rights in Assets.	kept:role:*
R0150	.agents/workflows/pre-development.md	00 — Client Request	373	evidence	role:*	role:*			Approvals and current dependency review are source metadata under `.agents/contracts/document-confirmation.md`; Git owns prior versions.	kept:role:*
R0151	.agents/workflows/pre-development.md	00 — Client Request	373	evidence	role:*	role:*			Do not create Evidence, a transcript register, or a substitute fact/change log.	kept:role:*
R0152	.agents/workflows/pre-development.md	00 — Client Request	373	confirmation	role:*	role:*			Client approval does not make a market hypothesis true.	kept:role:*
R0153	.agents/workflows/pre-development.md	00 — Client Request	373	inheritance	role:*	role:*			Inherited framework facts require client confirmation of applicability in the owning startup source.	kept:role:*
R0154	.agents/workflows/pre-development.md	00 — Client Request	381	method	role:*	role:*			Completion requires confirmed scope and products, attributable current facts and intentions, explicit unknowns, and answers to the operator facts needed for the next strategic decision.	kept:role:*
